id,CLASS
0,7
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,5
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,3
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,6
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,6
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,6
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,3
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,2
92,0
93,0
94,1
95,2
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,3
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,5
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,2
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,2
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,1
164,0
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,5
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,6
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,0
227,7
228,0
229,1
230,1
231,3
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,4
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,4
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,3
277,1
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,4
308,5
309,7
310,0
311,0
312,1
313,0
314,0
315,3
316,1
317,2
318,0
319,0
320,0
321,1
322,0
323,2
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,3
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,3
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,3
398,1
399,8
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,3
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,0
448,0
449,1
450,8
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,3
474,0
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,7
486,7
487,7
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,7
502,7
503,7
504,7
505,7
506,7
507,7
508,7
509,7
510,7
511,7
512,7
513,7
514,7
515,7
516,7
517,7
518,7
519,7
520,7
521,7
522,7
523,7
524,7
525,7
526,7
527,7
528,7
529,7
530,7
531,7
532,7
533,7
534,7
535,7
536,7
537,7
538,7
539,7
540,7
541,7
542,7
543,7
544,7
545,7
546,7
547,7
548,7
549,7
550,7
551,7
552,7
553,7
554,7
555,7
556,7
557,7
558,7
559,7
560,7
561,7
562,7
563,7
564,7
565,7
566,7
567,7
568,7
569,7
570,7
571,7
572,7
573,7
574,7
575,7
576,7
577,7
578,7
579,7
580,7
581,7
582,7
583,7
584,7
585,7
586,7
587,7
588,7
589,7
590,7
591,7
592,7
593,7
594,7
595,7
596,7
597,7
598,7
599,7
600,7
601,7
602,7
603,7
604,7
605,7
606,7
607,7
608,7
609,7
610,7
611,7
612,7
613,7
614,7
615,7
616,7
617,7
618,7
619,7
620,7
621,7
622,7
623,7
624,7
625,7
626,7
627,7
628,7
629,7
630,7
631,7
632,7
633,7
634,7
635,7
636,7
637,7
638,7
639,7
640,7
641,7
642,7
643,7
644,7
645,7
646,7
647,7
648,7
649,7
650,7
651,7
652,7
653,7
654,7
655,7
656,7
657,7
658,7
659,7
660,7
661,7
662,7
663,7
664,7
665,7
666,7
667,7
668,7
669,7
670,7
671,7
672,7
673,7
674,7
675,7
676,7
677,7
678,7
679,7
680,7
681,7
682,7
683,7
684,7
685,7
686,7
687,7
688,7
689,7
690,7
691,7
692,7
693,7
694,7
695,7
696,7
697,7
698,7
699,7
700,7
701,7
702,7
703,7
704,7
705,7
706,7
707,7
708,7
709,7
710,7
711,7
712,7
713,7
714,7
715,7
716,7
717,7
718,7
719,7
720,7
721,7
722,7
723,7
724,7
725,7
726,7
727,7
728,7
729,7
730,7
731,7
732,7
733,7
734,7
735,7
736,7
737,7
738,7
739,7
740,7
741,7
742,7
743,7
744,7
745,7
746,7
747,7
748,7
749,7
750,7
751,7
752,7
753,7
754,7
755,7
756,7
757,7
758,7
759,7
760,7
761,7
762,7
763,7
764,7
765,7
766,7
767,7
768,7
769,7
770,7
771,7
772,7
773,7
774,7
775,7
776,7
777,7
778,7
779,7
780,7
781,7
782,7
783,7
784,7
785,7
786,7
787,7
788,7
789,7
790,7
791,7
792,7
793,7
794,7
795,7
796,7
797,7
798,7
799,7
800,7
801,7
802,7
803,7
804,7
805,7
806,7
807,7
808,7
809,7
810,7
811,7
812,7
813,7
814,7
815,7
816,7
817,7
818,7
819,7
820,7
821,7
822,7
823,7
824,7
825,7
826,7
827,7
828,7
829,7
830,7
831,7
832,7
833,7
834,7
835,7
836,7
837,7
838,7
839,7
840,7
841,7
842,7
843,7
844,7
845,7
846,7
847,7
848,7
849,7
850,7
851,7
852,7
853,7
854,7
855,7
856,7
857,7
858,7
859,7
860,7
861,7
862,7
863,7
864,7
865,7
866,7
867,7
868,7
869,7
870,7
871,7
872,7
873,7
874,7
875,7
876,7
877,7
878,7
879,7
880,7
881,7
882,7
883,7
884,7
885,7
886,7
887,7
888,7
889,7
890,7
891,7
892,7
893,7
894,7
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,7
984,7
985,7
986,7
987,7
988,7
989,7
990,7
991,7
992,7
993,7
994,7
995,7
996,7
997,7
998,7
999,7
1000,7
1001,7
1002,7
1003,7
1004,7
1005,7
1006,7
1007,7
1008,7
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,7
1016,7
1017,7
1018,7
1019,7
1020,7
1021,7
1022,7
1023,7
1024,7
1025,7
1026,7
1027,7
1028,7
1029,7
1030,7
1031,7
1032,7
1033,7
1034,7
1035,7
1036,7
1037,7
1038,7
1039,7
1040,7
1041,7
1042,7
1043,7
1044,7
1045,7
1046,7
1047,7
1048,7
1049,7
1050,7
1051,7
1052,7
1053,7
1054,7
1055,7
1056,7
1057,7
1058,7
1059,7
1060,7
1061,7
1062,7
1063,7
1064,7
1065,7
1066,7
1067,7
1068,7
1069,7
1070,7
1071,7
1072,7
1073,7
1074,7
1075,7
1076,7
1077,7
1078,7
1079,7
1080,7
1081,7
1082,7
1083,7
1084,7
1085,7
1086,7
1087,7
1088,7
1089,7
1090,7
1091,7
1092,7
1093,7
1094,7
1095,7
1096,7
1097,7
1098,7
1099,7
1100,7
1101,7
1102,7
1103,7
1104,7
1105,7
1106,7
1107,7
1108,7
1109,7
1110,7
1111,7
1112,7
1113,7
1114,7
1115,7
1116,7
1117,7
1118,7
1119,7
1120,7
1121,7
1122,7
1123,7
1124,7
1125,7
1126,7
1127,7
1128,7
1129,7
1130,7
1131,7
1132,7
1133,7
1134,7
1135,7
1136,7
1137,7
1138,7
1139,7
1140,7
1141,7
1142,7
1143,7
1144,7
1145,7
1146,7
1147,7
1148,7
1149,7
1150,7
1151,7
1152,7
1153,7
1154,7
1155,7
1156,7
1157,7
1158,7
1159,7
1160,7
1161,7
1162,7
1163,7
1164,7
1165,7
1166,7
1167,7
1168,7
1169,7
1170,7
1171,7
1172,7
1173,7
1174,7
1175,7
1176,7
1177,7
1178,7
1179,7
1180,7
1181,7
1182,7
1183,7
1184,7
1185,7
1186,7
1187,7
1188,7
1189,7
1190,7
1191,7
1192,7
1193,7
1194,7
1195,7
1196,7
1197,7
1198,7
1199,7
1200,7
1201,7
1202,7
1203,7
1204,7
1205,7
1206,7
1207,7
1208,7
1209,7
1210,7
1211,7
1212,7
1213,7
1214,7
1215,7
1216,7
1217,7
1218,7
1219,7
1220,7
1221,7
1222,7
1223,7
1224,7
1225,7
1226,7
1227,7
1228,7
1229,7
1230,7
1231,7
1232,7
1233,7
1234,7
1235,7
1236,7
1237,7
1238,7
1239,7
1240,7
1241,7
1242,7
1243,7
1244,7
1245,7
1246,7
1247,7
1248,7
1249,7
1250,7
1251,7
1252,7
1253,7
1254,7
1255,7
1256,7
1257,7
1258,7
1259,7
1260,7
1261,7
1262,7
1263,7
1264,7
1265,7
1266,7
1267,7
1268,7
1269,7
1270,7
1271,7
1272,7
1273,7
1274,7
1275,7
1276,7
1277,7
1278,7
1279,7
1280,7
1281,7
1282,7
1283,7
1284,7
1285,7
1286,7
1287,7
1288,7
1289,7
1290,7
1291,7
1292,7
1293,7
1294,7
1295,7
1296,7
1297,7
1298,7
1299,7
1300,7
1301,7
1302,7
1303,7
1304,7
1305,7
1306,7
1307,7
1308,7
1309,7
1310,7
1311,7
1312,7
1313,7
1314,7
1315,7
1316,7
1317,7
1318,7
1319,7
1320,7
1321,7
1322,7
1323,7
1324,7
1325,7
1326,7
1327,7
1328,7
1329,7
1330,7
1331,7
1332,7
1333,7
1334,7
1335,7
1336,7
1337,7
1338,7
1339,7
1340,7
1341,7
1342,7
1343,7
1344,7
1345,7
1346,7
1347,7
1348,7
1349,7
1350,7
1351,7
1352,7
1353,7
1354,7
1355,7
1356,7
1357,7
1358,7
1359,7
1360,7
1361,7
1362,7
1363,7
1364,7
1365,7
1366,7
1367,7
1368,7
1369,1
1370,0
1371,0
1372,0
1373,3
1374,0
1375,0
1376,1
1377,2
1378,0
1379,4
1380,1
1381,1
1382,0
1383,0
1384,0
1385,7
1386,0
1387,1
1388,1
1389,1
1390,1
1391,1
1392,0
1393,1
1394,1
1395,1
1396,0
1397,1
1398,1
1399,1
1400,0
1401,0
1402,0
1403,0
1404,1
1405,0
1406,0
1407,0
1408,1
1409,7
1410,0
1411,0
1412,0
1413,1
1414,5
1415,0
1416,0
1417,1
1418,0
1419,0
1420,0
1421,1
1422,0
1423,1
1424,1
1425,2
1426,1
1427,1
1428,1
1429,6
1430,1
1431,0
1432,2
1433,0
1434,1
1435,0
1436,1
1437,0
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,0
1446,0
1447,1
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,5
1455,2
1456,1
1457,0
1458,1
1459,1
1460,0
1461,0
1462,1
1463,1
1464,0
1465,1
1466,1
1467,0
1468,0
1469,1
1470,0
1471,1
1472,0
1473,0
1474,1
1475,1
1476,1
1477,1
1478,0
1479,0
1480,0
1481,0
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,0
1489,1
1490,1
1491,1
1492,0
1493,1
1494,1
1495,0
1496,0
1497,1
1498,0
1499,7
1500,1
1501,0
1502,0
1503,1
1504,0
1505,0
1506,2
1507,0
1508,6
1509,0
1510,0
1511,0
1512,1
1513,1
1514,0
1515,1
1516,4
1517,0
1518,0
1519,1
1520,1
1521,1
1522,0
1523,0
1524,0
1525,0
1526,8
1527,1
1528,0
1529,1
1530,0
1531,0
1532,0
1533,1
1534,0
1535,7
1536,0
1537,7
1538,1
1539,0
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,1
1548,0
1549,0
1550,1
1551,1
1552,1
1553,1
1554,0
1555,1
1556,1
1557,0
1558,1
1559,0
1560,0
1561,1
1562,1
1563,1
1564,1
1565,0
1566,0
1567,0
1568,1
1569,0
1570,1
1571,0
1572,1
1573,1
1574,0
1575,1
1576,1
1577,1
1578,0
1579,1
1580,0
1581,1
1582,1
1583,8
1584,0
1585,0
1586,1
1587,0
1588,0
1589,1
1590,0
1591,0
1592,0
1593,0
1594,2
1595,0
1596,1
1597,0
1598,0
1599,0
1600,0
1601,0
1602,1
1603,1
1604,0
1605,0
1606,0
1607,8
1608,0
1609,1
1610,1
1611,1
1612,7
1613,0
1614,1
1615,0
1616,1
1617,0
1618,0
1619,1
1620,1
1621,0
1622,1
1623,0
1624,0
1625,0
1626,0
1627,0
1628,1
1629,1
1630,1
1631,1
1632,1
1633,0
1634,0
1635,1
1636,0
1637,1
1638,1
1639,1
1640,0
1641,1
1642,0
1643,0
1644,6
1645,1
1646,0
1647,0
1648,1
1649,0
1650,0
1651,1
1652,1
1653,1
1654,0
1655,0
1656,0
1657,1
1658,1
1659,0
1660,1
1661,0
1662,1
1663,0
1664,1
1665,0
1666,0
1667,0
1668,7
1669,0
1670,0
1671,0
1672,1
1673,0
1674,0
1675,1
1676,0
1677,0
1678,1
1679,0
1680,1
1681,0
1682,1
1683,1
1684,0
1685,1
1686,1
1687,0
1688,0
1689,0
1690,0
1691,1
1692,0
1693,1
1694,0
1695,0
1696,0
1697,7
1698,1
1699,6
1700,8
1701,4
1702,0
1703,1
1704,1
1705,0
1706,1
1707,1
1708,1
1709,1
1710,3
1711,0
1712,0
1713,0
1714,0
1715,0
1716,1
1717,1
1718,1
1719,0
1720,1
1721,0
1722,1
1723,0
1724,0
1725,5
1726,0
1727,1
1728,0
1729,2
1730,1
1731,0
1732,0
1733,1
1734,1
1735,1
1736,7
1737,0
1738,0
1739,1
1740,0
1741,0
1742,0
1743,1
1744,0
1745,0
1746,0
1747,1
1748,1
1749,0
1750,0
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,0
1761,1
1762,1
1763,1
1764,1
1765,4
1766,1
1767,3
1768,1
1769,0
1770,0
1771,1
1772,0
1773,0
1774,0
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,0
1782,8
1783,9
1784,9
1785,9
1786,9
1787,9
1788,9
1789,9
1790,9
1791,9
1792,9
1793,9
1794,9
1795,9
1796,9
1797,9
1798,9
1799,9
1800,9
1801,9
1802,9
1803,9
1804,9
1805,9
1806,9
1807,9
1808,9
1809,9
1810,9
1811,9
1812,9
1813,9
1814,9
1815,9
1816,9
1817,9
1818,9
1819,9
1820,9
1821,9
1822,9
1823,9
1824,9
1825,9
1826,9
1827,9
1828,9
1829,9
1830,9
1831,9
1832,9
1833,9
1834,9
1835,9
1836,9
1837,9
1838,9
1839,9
1840,9
1841,9
1842,9
1843,9
1844,9
1845,9
1846,9
1847,9
1848,9
1849,9
1850,9
1851,9
1852,9
1853,9
1854,9
1855,9
1856,9
1857,9
1858,9
1859,9
1860,9
1861,9
1862,9
1863,9
1864,9
1865,9
1866,9
1867,9
1868,9
1869,9
1870,9
1871,9
1872,9
1873,9
1874,9
1875,9
1876,9
1877,9
1878,9
1879,9
1880,9
1881,9
1882,9
1883,9
1884,9
1885,9
1886,9
1887,9
1888,9
1889,9
1890,9
1891,9
1892,9
1893,9
1894,9
